500	pięćset
Treue	wierność
Trick	podstęp
Unbekannter	nieznajomy
Ungeheuer	stwór
Unterschied	różnica
Vater	ojciec
Vater	tato
Vaterland	ojczyzna
Vergangenheit	przeszłość
Vergleich	porównanie
Verletzte	ranna
Verletzte	ranny
Viertel	dzielnica
Visier	cel
Vorbild	pierwowzór
Vulkan	wulkan
Wahrheit	prawda
Walzer	walc
Washington	Waszyngton
Westen	zachód
Wettlauf	gonitwa
Wirt	gospodarz
Wohnzimmer	salon
Wolkenbruch	ulewa
Wunder	cud
Wurf	rzut
Zaun	ogrodzenie
Zeit	czas
Ziel	cel
Ziel	cel
Zigarren	papieros
Zimmer	pokój
Zisterne	cysterna
Zufall	przypadek
Zug	ciąg
aber	a
aber	ale
alle	wszelki
alle	wszyscy
alles	wszystko
als	gdy
also	więc
alt	stary
an	przy
an	w
anders	inny
anerkennen	uznać
anfangen	zacząć
angreifen	zaatakować
anhalten	poprosić
anhalten	zatrzymać
annehmen	przypuszczać
anrufen	dzwonić
anstellen	włączyć
antworten	odpowiedzieć
arbeitend	pracujący
auch	też
auferstehen	zmartwychwstać
aufklären	wyjaśnić
aufmerksam	uważnie
aufpassen	uważać
aufschreiben	napisać
auftreten	wystąpić
ausgezeichnet	wspaniale
ausruhen	odpocząć
ausziehen	rozbierać
ausziehen	rozebrać
außer	lecz
außer	oprócz
außerordentlich	nadzwyczajny
beantworten	odpowiedzieć
beenden	skończyć
beenden	ukończyć
beginnen	zaczynać
beginnen	zacząć
behandeln	potraktować
bei	przy
beides	obydwa
bemerken	uważać
benutzen	używać
beobachten	obserwować
besuchen	zobaczyć
betrogen	oszukany
betrügen	oszukać
bewahren	zachować
bis	dopóki
bitten	poprosić
bitten	prosić
blasen	dmuchać
bleiben	zostać
blicken	spojrzeć
bringen	zaprowadzić
damit	żeby
dank	dzięki
danken	dziękować
dann	to
darum	dlatego
dass	że
dauernd	ciągle
dein	twój
denken	myśleć
dick	gruby
dieser	taki
dieser	ten
dir	ci
direkt	prosto
dort	tam
draußen	zewnątrz
dreist	zuchwały
du	ty
du	ty
dumm	głupia
dunkel	ciemno
durch	przez
durchdrehen	oszaleć
durchhalten	utrzymywać
edel	czcigodny
eher	raczej
ehrlich	szczery
eingreifen	ingerować
einmal	raz
eins	jeden
einschalten	włączyć
entblößen	obnażać
entdecken	wykryć
entfliehen	uciec
enthalten	zawierać
er	on
er	on
erblicken	spojrzeć
erblinden	oślepiać
erinnern	wspominać
erklären	wyjaśnić
erklären	wytłumaczyć
erzählen	powiedzieć
eröffnen	założyć
es	ono
essen	jeść
euer	wasz
explodieren	wybuchać
fahren	jechać
feierlich	uroczyście
fliegen	latać
fliehen	uciec
fliehen	uciekać
flirten	flirtować
fordern	domagać
fortgehen	odchodzić
fragen	pytać
frech	zuchwały
fremd	obcy
fröhlich	radośnie
furchtbar	okropny
führen	poprowadzić
fünfhundert	pięćset
für	dla
für	za
geben	dać
geben	podać
geerbt	dziedziczny
gegen	przeciwko
gehen	chodzić
gehen	iść
gelb	żółty
geliebt	ukochany
gemeinsam	razem
gestern	wczoraj
gewartet	czekało
gewissenhaft	sumienny
grau	szary
groß	wielki
großartig	wspaniały
gründen	założyć
gucken	oglądać
gut	dobrze
gut	niezły
haben	mieć
halb	pół
hallo	cześć
halten	utrzymywać
heben	podnieść
heilich	święto
heiraten	ożenić
helfen	pomóc
herrschen	panować
heulen	płakać
hey	hej
hier	tu
hochheben	podnieść
hochnäsig	zarozumiały
hässlich	paskudny
hören	słuchać
hören	słyszeć
hören	wysłuchać
ich	ja
ihm	mu
ihn	go
ihr	jej
ihr	wy
immer	zwykle
in	do
in	na
in	w
in	za
international	międzynarodowy
irgendein	jakiś
irgendjemand	ktoś
irgendwo	gdzieś
ja	tak
jede	wszelki
jeder	co
jeder	każdy
jeglich	wszelki
jetzt	teraz
jung	młody
keiner	żaden
kennenlernen	poznać
km	km
komisch	dziwny
korrigieren	poprawiać
können	móc
können	umieć
kümmern	dbać
lachen	drwić
lachen	śmieszyć
lassen	puścić
laufend	bieżąco
lauten	brzmieć
lebend	żyjący
leicht	łatwy
leiden	cierpieć
lesen	czytać
letzt	ostateczny
letzter	ostatni
lokal	lokalny
losbinden	odwiązać
loslösen	odwiązać
loswerden	uwolnić
lösen	rozwiązywać
machen	robić
machen	zrobić
magisch	magiczny
manche	niektóry
mehr	więcej
meine	moja
meiner	mój
melden	głosić
melden	zgłaszać
mir	mi
mit	z
morgen	jutro
mutig	dzielny
nach	do
nach	po
nach	w
nach	według
nachdenken	zastanawiać
nachsehen	spojrzeć
nehmen	wziąć
nehmen	zabrać
nein	nie
nett	niezły
neueste	ostatnie
nicht	nie
nicht sehr	niezbyt
nicht viel	niezbyt
nichts	nic
nie	nigdy
noch	jeszcze
notieren	napisać
notieren	zanotować
nuklear	nuklearny
nur	tylko
oder	lub
offen	odkryty
offensichtlich	oczywiście
ohne	bez
plötzlich	nagle
przeżyć	überleben
prüfen	sprawdzać
raffiniert	sprytny
rauben	rabować
reden	mówić
reden	rozmawiać
regieren	panować
reisen	podróżować
romantisch	romantyczny
ruhig	spokojnie
sagen	mówić
sagen	powiedzieć
scheinen	zdawać
schießen	strzelać
schlafen	spać
schlau	mądry
schmeicheln	schlebiać
schneiden	odciąć
schnell	szybko
schon	już
schrecklich	paskudny
schreiben	napisać
schreien	krzyczeć
schreien	okrzyczeć
schwach	słaby
schwören	przysięgnąć
schämen	wstydzić
sehen	widzenie
sehen	widzieć
sehen	zobaczyć
sehr	bardzo
sein	być
seit	od
selbst	sam
sich	się
sicher	pewno
sicherlich	oczywiście
sicherlich	pewnie
sie	ona
sie	one
sie	oni
sieben	siedem
sitzen	siedzieć
so	tak
sogar	nawet
sorgfältig	sumienny
spielen	udawać
sprechen	mówić
springen	skoczyć
sterben	umierać
stoßen	natknąć
stoßen	wepchnąć
streichen	anulować
ständig	ciągle
stören	przeszkadzać
tapfer	odważny
tatsächlich	właściwie
tauchen	nurkować
teilen	dzielić
teur	drogi
teur	kosztowny
tirnken	wypić
toll	świetnie
treffen	natknąć
treffen	spotkać
trink	wypić
um	aby
um	o
um zu	żeby
umbringen	zabić
umdrehen	odwracać
unbekannt	nieznajomy
und	a
und	i
ungefähr	około
unterzeichnen	podpisać
verachten	gardzić
verbringen	spędzać
verdienen	zarabiać
verehren	uwielbiać
verhindern	zapobiegać
verlassen	opuścić
verlassen	schodzić
verlieben	zakochać
vermuten	domyślić
vermuten	przypuszczać
vernachlässigen	zaniedbywać
verrückt	szalony
verschweigen	ukrywać
verspotten	drwić
verspäten	spóźnić
verstecken	schować
viel	bardzo
viel	dużo
viele	wiele
vielleicht	może
voll	pełny
vollenden	ukończyć
von	od
von dort	stamtąd
vor	przed
voreingenommen	uprzedzony
vorsichtig	ostrożnie
vorspielen	udawać
wahr	prawda
war	była
warum	czemu
warum	dlaczego
was	co
weder	ani
wegfahren	wyjechać
weggehen	odchodzić
weggehen	odejść
wegwerfen	rzucić
weich	miękki
weinen	płakać
weise	mądry
weiter	dalej
weitergeben	przekazać
weiß	biała
welche	jaki
welche	który
welcher	który
wenig	mało
wenig	niezbyt
wenn	jeżeli
wer	kto
werfen	rzucić
wieder	znowu
wiederauferstehen	zmartwychwstać
wiederherstellen	przywrócić
wir	my
wir	my
wissen	wiedzieć
wo	gdzie
wohl	chyba
wollen	chcieć
wundervoll	cudowny
wählen	głosować
za	zu
zabierać	mitnehmen
zart	miękki
zegien	pokazać
zu	za
zuerst	najpierw
zunächst	najpierw
zurückgehen	zawrócić
zurückkehren	cofać
zurückkommen	wrócić
zusammen	razem
zusammenbringen	bratać
zwei	dwa
zählen	liczyć
Öffnung	dziurka
Öl	ropa
Öl	ropa naftowa
öffentlich	publiczny
über	o
über	ponad
übertragen	przekazać
übertragen	zdawać
